SalesDate,Region,Cust_Type,Customer,Buz_Segt,Category,Model,Model_Color,ListPrice,OrderQty,Gross Sales Amt,Disc %
04-Jan-18,United States,Silver,Lease-a-Bike Shop,Components,Wheels,LL Road Rear Wheel,Black,113,4,452,5%
04-Jan-18,Canada,Gold,Bikes and Motorbikes,Accessories,Locks,Cable Lock,,25,1,25,2%
04-Jan-18,United States,Platinum,Fun Times Club,Bikes,Road Bikes,Road-650,Black,783,6,4698,15%
04-Jan-18,United States,Platinum,Every Bike Shop,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,15%
04-Jan-18,United States,Silver,Elite Bikes,Clothing,Tights,Women's Tights,Black,75,8,600,5%
05-Jan-18,United States,Silver,Futuristic Sport Distributors,Bikes,Road Bikes,Road-650,Red,783,5,3915,5%
05-Jan-18,United States,Silver,Catalog Store,Components,Wheels,ML Mountain Rear Wheel,Black,236,4,944,5%
05-Jan-18,United States,Silver,Bicycle Lines Distributors,Components,Headsets,HL Headset,,125,1,125,5%
05-Jan-18,United States,Gold,eCommerce Bikes,Components,Mountain Frames,HL Mountain Frame,Black,1350,2,2700,12%
05-Jan-18,Canada,Silver,General Supplies,Clothing,Gloves,Half-Finger Gloves,Black,24,1,24,0%
05-Jan-18,United Kingdom,Gold,Metropolitan Bicycle Supply,Components,Mountain Frames,ML Mountain Frame,Black,349,8,2792,24%
05-Jan-18,United States,Gold,The New Bike Store,Bikes,Road Bikes,Road-650,Black,783,3,2349,12%
06-Jan-18,United States,Silver,Go-cart and Bike Specialists,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,2,100,5%
06-Jan-18,Canada,Silver,Rewarding Activities Company,Clothing,Shorts,Men's Sports Shorts,Black,60,4,240,0%
06-Jan-18,United States,Gold,Retail Sales and Service,Clothing,Tights,Women's Tights,Black,75,1,75,12%
06-Jan-18,Canada,Gold,Mercantile Outlet,Components,Mountain Frames,ML Mountain Frame-W,Black,349,3,1047,2%
06-Jan-18,France,Silver,Registered Cycle Store,Components,Handlebars,LL Mountain Handlebars,,45,5,225,5%
06-Jan-18,Canada,Silver,Active Life Toys,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,0%
07-Jan-18,United States,Silver,Go-cart and Bike Specialists,Clothing,Caps,Cycling Cap,Multi,9,6,54,5%
07-Jan-18,United States,Silver,Exhilarating Cycles,Components,Wheels,HL Road Front Wheel,Black,330,1,330,5%
07-Jan-18,France,Silver,Registered Cycle Store,Accessories,Locks,Cable Lock,,25,5,125,5%
07-Jan-18,Canada,Gold,Twelfth Bike Store,Accessories,Helmets,Sport-100,Red,35,4,140,2%
07-Jan-18,United States,Gold,Bike World,Clothing,Gloves,Full-Finger Gloves,Black,38,2,76,12%
07-Jan-18,United Kingdom,Gold,Bulk Discount Store,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,24%
08-Jan-18,Canada,Gold,Citywide Service and Repair,Components,Road Frames,LL Road Frame,Red,337,3,1011,2%
08-Jan-18,Canada,Silver,General Supplies,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,0%
08-Jan-18,United States,Silver,General Associates,Bikes,Road Bikes,Road-650,Black,783,1,783,5%
08-Jan-18,United States,Gold,Pedal Systems Company,Bikes,Road Bikes,Road-650,Black,783,2,1566,12%
08-Jan-18,United States,Silver,Extraordinary Bike Works,Components,Forks,LL Fork,,148,3,444,5%
09-Jan-18,Canada,Gold,Citywide Service and Repair,Clothing,Gloves,Half-Finger Gloves,Black,24,1,24,2%
09-Jan-18,France,Silver,Metropolitan Equipment,Clothing,Shorts,Men's Sports Shorts,Black,60,5,300,5%
09-Jan-18,United States,Silver,The Gear Store,Components,Wheels,ML Mountain Rear Wheel,Black,236,2,472,5%
09-Jan-18,United States,Platinum,Sturdy Toys,Bikes,Mountain Bikes,Mountain-300,Black,1080,5,5400,15%
09-Jan-18,United States,Gold,Bicycle Merchandise Warehouse,Components,Handlebars,HL Road Handlebars,,120,3,360,12%
10-Jan-18,United States,Silver,Better Bike Shop,Bikes,Mountain Bikes,Mountain-300,Black,1080,1,1080,5%
10-Jan-18,United States,Silver,Brightwork Company,Bikes,Mountain Bikes,Mountain-200,Black,2295,1,2295,5%
10-Jan-18,United States,Gold,Trailblazing Sports,Bikes,Mountain Bikes,Mountain-200,Black,2295,4,9180,12%
11-Jan-18,United States,Silver,Frugal Bike Shop,Components,Mountain Frames,ML Mountain Frame,Black,349,2,698,5%
11-Jan-18,United States,Silver,Bike Boutique,Components,Road Frames,ML Road Frame-W,Yellow,595,2,1190,5%
11-Jan-18,United States,Silver,Mail-Order Outlet,Clothing,Tights,Women's Tights,Black,75,3,225,5%
11-Jan-18,United States,Silver,Preferred Bikes,Components,Wheels,ML Road Front Wheel,Black,248,2,496,5%
11-Jan-18,United States,Silver,Bicycle Outfitters,Components,Wheels,ML Road Front Wheel,Black,248,1,248,5%
12-Jan-18,United States,Silver,Friendly Bike Shop,Bikes,Road Bikes,Road-250,Red,2443,1,2443,5%
12-Jan-18,Canada,Silver,Two-Wheeled Transit Company,Clothing,Gloves,Full-Finger Gloves,Black,38,3,114,0%
12-Jan-18,United States,Gold,Front Sporting Goods,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,4,200,12%
12-Jan-18,United States,Silver,City Manufacturing,Components,Handlebars,ML Mountain Handlebars,,62,2,124,5%
12-Jan-18,Canada,Gold,Professional Cyclists,Bikes,Road Bikes,Road-250,Red,2443,4,9772,2%
12-Jan-18,United States,Silver,Eastside Department Store,Bikes,Road Bikes,Road-650,Red,783,7,5481,5%
13-Jan-18,United States,Silver,Client Discount Store,Clothing,Gloves,Half-Finger Gloves,Black,24,2,48,5%
13-Jan-18,United States,Silver,Catalog Store,Components,Mountain Frames,ML Mountain Frame,Black,349,4,1396,5%
13-Jan-18,France,Silver,Finished Parts Shop,Bikes,Mountain Bikes,Mountain-200,Silver,2320,2,4640,5%
14-Jan-18,United States,Silver,Better Bike Shop,Clothing,Gloves,Full-Finger Gloves,Black,38,3,114,5%
14-Jan-18,United States,Silver,Genial Bike Associates,Components,Mountain Frames,ML Mountain Frame,Black,349,4,1396,5%
14-Jan-18,United States,Silver,Lease-a-Bike Shop,Bikes,Road Bikes,Road-550-W,Yellow,1120,7,7840,5%
14-Jan-18,United States,Silver,Convenient Sales and Service,Components,Road Frames,HL Road Frame,Red,1432,1,1432,5%
15-Jan-18,United States,Gold,Area Bike Accessories,Bikes,Road Bikes,Road-550-W,Yellow,1120,1,1120,12%
15-Jan-18,United Kingdom,Silver,Uttermost Bike Shop,Components,Road Frames,ML Road Frame-W,Yellow,595,3,1785,10%
15-Jan-18,United States,Gold,Commercial Sporting Goods,Components,Mountain Frames,HL Mountain Frame,Black,1350,5,6750,12%
16-Jan-18,Canada,Gold,Urban Sports Emporium,Components,Road Frames,ML Road Frame-W,Yellow,595,2,1190,2%
16-Jan-18,Canada,Silver,Standard Bikes,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,2,100,0%
16-Jan-18,United Kingdom,Silver,Cycling Goods,Accessories,Helmets,Sport-100,Blue,35,2,70,10%
16-Jan-18,United States,Silver,Village Tours,Clothing,Caps,Cycling Cap,Multi,9,1,9,5%
16-Jan-18,United States,Gold,Sales and Supply Company,Bikes,Road Bikes,Road-250,Black,2443,6,14658,12%
17-Jan-18,United States,Silver,Bike Boutique,Bikes,Road Bikes,Road-250,Red,2443,1,2443,5%
17-Jan-18,United States,Silver,Wholesale Bikes,Components,Wheels,LL Road Rear Wheel,Black,113,3,339,5%
18-Jan-18,United States,Platinum,Real Sporting Goods,Clothing,Gloves,Half-Finger Gloves,Black,24,2,48,15%
18-Jan-18,United States,Platinum,Real Sporting Goods,Clothing,Shorts,Men's Sports Shorts,Black,60,4,240,15%
18-Jan-18,Canada,Gold,Urban Sports Emporium,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,1,50,2%
18-Jan-18,United States,Silver,Bicycle Lines Distributors,Bikes,Mountain Bikes,Mountain-300,Black,1080,4,4320,5%
18-Jan-18,United States,Silver,Field Trip Store,Components,Wheels,HL Mountain Front Wheel,Black,300,4,1200,5%
18-Jan-18,France,Silver,Major Amusement Company,Clothing,Gloves,Full-Finger Gloves,Black,38,2,76,5%
18-Jan-18,Canada,Gold,Vigorous Exercise Company,Clothing,Tights,Women's Tights,Black,75,6,450,2%
19-Jan-18,Canada,Silver,Retail Mall,Clothing,Shorts,Men's Sports Shorts,Black,60,4,240,0%
19-Jan-18,United Kingdom,Silver,Commerce Bicycle Specialists,Bikes,Mountain Bikes,Mountain-300,Black,1080,4,4320,10%
19-Jan-18,United States,Gold,Front Sporting Goods,Clothing,Tights,Women's Tights,Black,75,9,675,12%
19-Jan-18,Canada,Gold,Bikes and Motorbikes,Clothing,Shorts,Men's Sports Shorts,Black,60,2,120,2%
19-Jan-18,United States,Silver,Safe Cycles Shop,Clothing,Shorts,Men's Sports Shorts,Black,60,6,360,5%
20-Jan-18,United States,Gold,Wheelsets Storehouse,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,4,360,12%
21-Jan-18,United States,Silver,Frugal Bike Shop,Components,Handlebars,ML Mountain Handlebars,,62,2,124,5%
21-Jan-18,United States,Silver,Farthermost Bike Shop,Clothing,Shorts,Men's Sports Shorts,Black,60,5,300,5%
21-Jan-18,United States,Silver,Mail-Order Outlet,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,5,250,5%
22-Jan-18,United States,Gold,Consolidated Sales,Bikes,Mountain Bikes,Mountain-200,Black,2295,5,11475,12%
22-Jan-18,United States,Platinum,Permanent Finish Products,Components,Mountain Frames,HL Mountain Frame,Black,1350,1,1350,15%
22-Jan-18,United States,Silver,Mail-Order Outlet,Components,Wheels,LL Road Rear Wheel,Black,113,7,791,5%
22-Jan-18,United States,Silver,Extraordinary Bike Works,Clothing,Gloves,Full-Finger Gloves,Black,38,6,228,5%
23-Jan-18,Canada,Silver,Neighborhood Store,Bikes,Road Bikes,Road-650,Black,783,1,783,0%
23-Jan-18,France,Silver,Registered Cycle Store,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,7,350,5%
23-Jan-18,Canada,Gold,Greater Bike Store,Clothing,Gloves,Full-Finger Gloves,Black,38,4,152,2%
23-Jan-18,United States,Silver,Certified Bicycle Supply,Bikes,Road Bikes,Road-650,Red,783,1,783,5%
24-Jan-18,United States,Silver,Go-cart and Bike Specialists,Bikes,Mountain Bikes,Mountain-300,Black,1080,4,4320,5%
24-Jan-18,United States,Gold,Moderately-Priced Bikes Store,Bikes,Mountain Bikes,Mountain-200,Silver,2320,3,6960,12%
24-Jan-18,Canada,Gold,Bikes and Motorbikes,Components,Road Frames,LL Road Frame,Red,337,3,1011,2%
24-Jan-18,United States,Gold,Wheelsets Storehouse,Bikes,Road Bikes,Road-650,Black,783,1,783,12%
24-Jan-18,United Kingdom,Gold,Bulk Discount Store,Accessories,Helmets,Sport-100,Red,35,3,105,24%
25-Jan-18,United States,Platinum,Racing Association,Bikes,Road Bikes,Road-650,Black,783,3,2349,15%
25-Jan-18,United States,Silver,Preferred Bikes,Accessories,Helmets,Sport-100,Blue,35,8,280,5%
25-Jan-18,United States,Platinum,Permanent Finish Products,Bikes,Mountain Bikes,Mountain-200,Silver,2320,1,2320,15%
25-Jan-18,United States,Silver,Field Trip Store,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,6,300,5%
25-Jan-18,Canada,Silver,Valley Toy Store,Clothing,Gloves,Full-Finger Gloves,Black,38,13,494,0%
26-Jan-18,United States,Silver,Fitness Sport Boutique,Components,Mountain Frames,ML Mountain Frame-W,Black,349,1,349,5%
26-Jan-18,United States,Silver,Preferred Bikes,Clothing,Shorts,Men's Sports Shorts,Black,60,4,240,5%
26-Jan-18,United States,Silver,Resale Services,Components,Handlebars,HL Mountain Handlebars,,120,2,240,5%
27-Jan-18,United States,Gold,Bike Dealers Association,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,7,630,12%
27-Jan-18,United States,Silver,Mail-Order Outlet,Accessories,Helmets,Sport-100,Red,35,6,210,5%
27-Jan-18,United States,Silver,Finer Parts Shop,Components,Mountain Frames,HL Mountain Frame,Black,1350,2,2700,5%
28-Jan-18,France,Silver,Steel Inc.,Clothing,Gloves,Half-Finger Gloves,Black,24,5,120,5%
28-Jan-18,United States,Silver,Fitness Sport Boutique,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,4,200,5%
28-Jan-18,United States,Silver,Field Trip Store,Accessories,Pumps,Minipump,,20,6,120,5%
28-Jan-18,United States,Gold,Fashionable Bikes and Accessories,Components,Handlebars,ML Mountain Handlebars,,62,4,248,12%
28-Jan-18,United States,Silver,Metro Cycle Shop,Bikes,Mountain Bikes,Mountain-200,Silver,2320,2,4640,5%
29-Jan-18,United States,Gold,Bike Dealers Association,Accessories,Helmets,Sport-100,Blue,35,2,70,12%
29-Jan-18,United States,Silver,Thorough Parts and Repair Services,Components,Wheels,ML Road Front Wheel,Black,248,1,248,5%
29-Jan-18,United States,Silver,Successful Sales Company,Bikes,Road Bikes,Road-650,Black,783,2,1566,5%
30-Jan-18,United States,Platinum,Great Bikes,Components,Mountain Frames,HL Mountain Frame,Silver,1365,3,4095,15%
30-Jan-18,United States,Platinum,Professional Containers and Packaging Co.,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,4,200,15%
30-Jan-18,United States,Gold,Front Sporting Goods,Clothing,Gloves,Half-Finger Gloves,Black,24,4,96,12%
30-Jan-18,Canada,Platinum,Corner Bicycle Supply,Accessories,Pumps,Minipump,,20,7,140,8%
31-Jan-18,United States,Silver,This Area Sporting Goods,Bikes,Mountain Bikes,Mountain-200,Black,2295,3,6885,5%
31-Jan-18,France,Silver,Metropolitan Equipment,Components,Wheels,ML Road Front Wheel,Black,248,1,248,5%
31-Jan-18,United States,Gold,Bicycle Merchandise Warehouse,Clothing,Caps,Cycling Cap,Multi,9,2,18,12%
31-Jan-18,France,Gold,Getaway Inn,Components,Road Frames,LL Road Frame,Red,337,5,1685,10%
01-Feb-18,United States,Gold,Bike Dealers Association,Clothing,Shorts,Men's Sports Shorts,Black,60,8,480,12%
01-Feb-18,Canada,Silver,Tenth Bike Store,Components,Wheels,ML Road Front Wheel,Black,248,3,744,0%
01-Feb-18,United States,Gold,Trailblazing Sports,Components,Wheels,LL Mountain Front Wheel,Black,61,3,183,12%
01-Feb-18,Canada,Gold,General Cycle Storehouse,Components,Handlebars,HL Mountain Handlebars,,120,2,240,2%
02-Feb-18,Canada,Gold,Red Bicycle Company,Components,Wheels,ML Mountain Rear Wheel,Black,236,2,472,2%
02-Feb-18,United States,Silver,Affordable Sports Equipment,Clothing,Gloves,Half-Finger Gloves,Black,24,3,72,5%
02-Feb-18,Canada,Silver,Rapid Bikes,Components,Headsets,ML Headset,,102,5,510,0%
02-Feb-18,United States,Gold,Trailblazing Sports,Components,Forks,LL Fork,,148,3,444,12%
03-Feb-18,Canada,Silver,Retail Mall,Components,Road Frames,LL Road Frame,Red,337,7,2359,0%
03-Feb-18,United States,Gold,Big-Time Bike Store,Bikes,Road Bikes,Road-250,Black,2443,1,2443,12%
03-Feb-18,Canada,Gold,Urban Sports Emporium,Clothing,Tights,Women's Tights,Black,75,3,225,2%
03-Feb-18,United States,Gold,Travel Systems,Components,Wheels,ML Road Front Wheel,Black,248,1,248,12%
03-Feb-18,United States,Platinum,Sports Products Store,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,15%
03-Feb-18,United States,Silver,Convenient Sales and Service,Bikes,Road Bikes,Road-650,Red,783,3,2349,5%
04-Feb-18,United States,Silver,Guaranteed Sales and Service,Bikes,Road Bikes,Road-650,Red,783,3,2349,5%
04-Feb-18,United States,Silver,Satin Finish Company,Components,Headsets,HL Headset,,125,3,375,5%
04-Feb-18,United States,Silver,Frugal Bike Shop,Bikes,Mountain Bikes,Mountain-200,Silver,2320,6,13920,5%
04-Feb-18,United States,Silver,Fashionable Department Stores,Clothing,Shorts,Men's Sports Shorts,Black,60,3,180,5%
04-Feb-18,Canada,Silver,General Department Stores,Components,Mountain Frames,HL Mountain Frame,Black,1350,2,2700,0%
04-Feb-18,United States,Platinum,Larger Cycle Shop,Clothing,Gloves,Half-Finger Gloves,Black,24,6,144,15%
05-Feb-18,Canada,Gold,Leather Seat Factory,Bikes,Mountain Bikes,Mountain-200,Black,2295,1,2295,2%
05-Feb-18,United Kingdom,Silver,Downhill Bicycle Specialists,Clothing,Shorts,Men's Sports Shorts,Black,60,6,360,10%
05-Feb-18,United States,Silver,Preferred Bikes,Clothing,Caps,Cycling Cap,Multi,9,9,81,5%
05-Feb-18,United States,Silver,Outdoor Equipment Store,Clothing,Gloves,Half-Finger Gloves,Black,24,8,192,5%
05-Feb-18,United States,Silver,Next-Door Bike Store,Clothing,Gloves,Full-Finger Gloves,Black,38,10,380,5%
06-Feb-18,United States,Silver,Exhilarating Cycles,Clothing,Gloves,Half-Finger Gloves,Black,24,2,48,5%
06-Feb-18,United States,Silver,Coho Sports,Components,Headsets,LL Headset,,34,1,34,5%
06-Feb-18,United States,Silver,Fitness Sport Boutique,Components,Wheels,LL Mountain Front Wheel,Black,61,5,305,5%
06-Feb-18,United States,Gold,Paint Supply,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,4,360,12%
06-Feb-18,Canada,Gold,Sundry Sporting Goods,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,2,100,2%
07-Feb-18,United States,Silver,Friendly Bike Shop,Clothing,Gloves,Half-Finger Gloves,Black,24,3,72,5%
07-Feb-18,Canada,Silver,Top Sports Supply,Components,Mountain Frames,HL Mountain Frame,Silver,1365,2,2730,0%
07-Feb-18,United States,Gold,Front Sporting Goods,Components,Mountain Frames,HL Mountain Frame,Silver,1365,1,1365,12%
07-Feb-18,United States,Silver,Mountain Bike Center,Accessories,Locks,Cable Lock,,25,3,75,5%
07-Feb-18,Canada,Gold,Finer Cycle Shop,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,1,50,2%
07-Feb-18,France,Silver,Spa and Exercise Outfitters,Clothing,Shorts,Men's Sports Shorts,Black,60,4,240,5%
07-Feb-18,Canada,Gold,Family's Favorite Bike Shop,Components,Wheels,HL Mountain Front Wheel,Black,300,3,900,2%
07-Feb-18,United States,Platinum,Superlative Bikes,Bikes,Mountain Bikes,Mountain-200,Black,2295,2,4590,15%
07-Feb-18,United States,Silver,Elite Bikes,Bikes,Road Bikes,Road-250,Red,2443,2,4886,5%
07-Feb-18,United States,Gold,Trailblazing Sports,Clothing,Gloves,Full-Finger Gloves,Black,38,3,114,12%
08-Feb-18,United Kingdom,Silver,Prosperous Tours,Components,Wheels,HL Road Front Wheel,Black,330,3,990,10%
08-Feb-18,United States,Silver,Latest Sports Equipment,Components,Handlebars,ML Mountain Handlebars,,62,3,186,5%
08-Feb-18,United Kingdom,Silver,Prosperous Tours,Clothing,Gloves,Half-Finger Gloves,Black,24,1,24,10%
08-Feb-18,United States,Silver,Fashionable Department Stores,Components,Forks,HL Fork,,229,2,458,5%
08-Feb-18,United States,Gold,Retread Tire Company,Components,Road Frames,LL Road Frame,Black,337,1,337,12%
09-Feb-18,United States,Silver,Professional Cycle Store,Components,Handlebars,ML Mountain Handlebars,,62,2,124,5%
10-Feb-18,United States,Silver,Valuable Bike Parts Company,Components,Wheels,ML Mountain Rear Wheel,Black,236,2,472,5%
10-Feb-18,Canada,Gold,Bikes and Motorbikes,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,10,500,2%
10-Feb-18,United States,Silver,Many Bikes Store,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,6,300,5%
11-Feb-18,United States,Silver,Activity Center,Clothing,Caps,Cycling Cap,Multi,9,1,9,5%
11-Feb-18,United States,Platinum,Real Sporting Goods,Components,Mountain Frames,ML Mountain Frame,Black,349,3,1047,15%
11-Feb-18,United States,Silver,Totes & Baskets Company,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,5,450,5%
11-Feb-18,United Kingdom,Silver,Uttermost Bike Shop,Accessories,Pumps,Minipump,,20,3,60,10%
11-Feb-18,Canada,Gold,Twelfth Bike Store,Components,Handlebars,ML Mountain Handlebars,,62,3,186,2%
12-Feb-18,United States,Gold,Eastside Sporting Goods,Clothing,Gloves,Half-Finger Gloves,Black,24,1,24,12%
12-Feb-18,United States,Silver,Mountain Bike Center,Components,Wheels,LL Road Rear Wheel,Black,113,4,452,5%
12-Feb-18,Canada,Silver,Scratch-Resistant Finishes Company,Bikes,Mountain Bikes,Mountain-200,Black,2295,1,2295,0%
13-Feb-18,Canada,Silver,Retail Mall,Components,Wheels,LL Road Rear Wheel,Black,113,2,226,0%
13-Feb-18,United Kingdom,Silver,Prosperous Tours,Components,Handlebars,HL Road Handlebars,,120,4,480,10%
13-Feb-18,Canada,Gold,Red Bicycle Company,Clothing,Gloves,Full-Finger Gloves,Black,38,18,684,2%
13-Feb-18,United States,Silver,Bicycle Lines Distributors,Components,Handlebars,ML Mountain Handlebars,,62,2,124,5%
13-Feb-18,Canada,Silver,Tenth Bike Store,Clothing,Tights,Women's Tights,Black,75,3,225,0%
13-Feb-18,United States,Platinum,Highway Bike Shop,Clothing,Tights,Women's Tights,Black,75,9,675,15%
13-Feb-18,United States,Gold,Paint Supply,Clothing,Shorts,Men's Sports Shorts,Black,60,9,540,12%
14-Feb-18,United States,Gold,Small Cycle Store,Clothing,Caps,Cycling Cap,Multi,9,2,18,12%
14-Feb-18,France,Gold,Spare Parts Co.,Components,Mountain Frames,HL Mountain Frame,Silver,1365,2,2730,10%
14-Feb-18,France,Gold,Spare Parts Co.,Clothing,Gloves,Full-Finger Gloves,Black,38,21,798,10%
14-Feb-18,United States,Gold,Reasonable Bicycle Sales,Components,Wheels,HL Road Front Wheel,Black,330,8,2640,12%
14-Feb-18,United States,Silver,Fashionable Department Stores,Accessories,Helmets,Sport-100,Blue,35,12,420,5%
14-Feb-18,United Kingdom,Silver,Downhill Bicycle Specialists,Components,Wheels,LL Mountain Front Wheel,Black,61,4,244,10%
14-Feb-18,United States,Gold,Commercial Sporting Goods,Components,Handlebars,LL Mountain Handlebars,,45,1,45,12%
15-Feb-18,France,Gold,Full Sports Supply,Clothing,Caps,Cycling Cap,Multi,9,1,9,10%
15-Feb-18,United States,Silver,Casual Bicycle Store,Bikes,Mountain Bikes,Mountain-300,Black,1080,2,2160,5%
15-Feb-18,United States,Gold,Retail Sales and Service,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,2,180,12%
15-Feb-18,Canada,Silver,Tenth Bike Store,Clothing,Shorts,Men's Sports Shorts,Black,60,2,120,0%
15-Feb-18,United States,Silver,Mechanical Sports Center,Clothing,Caps,Cycling Cap,Multi,9,1,9,5%
15-Feb-18,United States,Silver,Preferred Bikes,Clothing,Tights,Women's Tights,Black,75,1,75,5%
15-Feb-18,United States,Gold,Fashionable Bikes and Accessories,Clothing,Gloves,Full-Finger Gloves,Black,38,4,152,12%
15-Feb-18,United States,Gold,World of Bikes,Accessories,Helmets,Sport-100,Red,35,4,140,12%
16-Feb-18,United States,Gold,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,5,250,12%
16-Feb-18,United States,Gold,Tiny Bike Boutique,Components,Wheels,ML Road Front Wheel,Black,248,8,1984,12%
16-Feb-18,United States,Silver,The Gear Store,Clothing,Tights,Women's Tights,Black,75,5,375,5%
16-Feb-18,United States,Gold,World of Bikes,Clothing,Caps,Cycling Cap,Multi,9,8,72,12%
17-Feb-18,United States,Gold,Fitness Toy Store,Clothing,Gloves,Half-Finger Gloves,Black,24,1,24,12%
17-Feb-18,United Kingdom,Silver,Uttermost Bike Shop,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,1,90,10%
17-Feb-18,United States,Silver,Solid Bike Parts,Components,Road Frames,LL Road Frame,Black,337,1,337,5%
17-Feb-18,United States,Gold,Bike Goods,Components,Road Frames,HL Road Frame,Black,1432,1,1432,12%
18-Feb-18,United States,Silver,Better Bike Shop,Components,Handlebars,ML Mountain Handlebars,,62,2,124,5%
18-Feb-18,United States,Silver,Friendly Bike Shop,Components,Road Frames,ML Road Frame-W,Yellow,595,1,595,5%
18-Feb-18,Canada,Silver,Neighborhood Store,Clothing,Bib-Shorts,Men's Bib-Shorts,Multi,90,5,450,0%
18-Feb-18,France,Silver,Registered Cycle Store,Accessories,Helmets,Sport-100,Blue,35,8,280,5%
18-Feb-18,United Kingdom,Silver,Commerce Bicycle Specialists,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,50,1,50,10%
18-Feb-18,United States,Silver,Solid Bike Parts,Bikes,Road Bikes,Road-550-W,Yellow,1120,1,1120,5%
18-Feb-18,United States,Gold,Paint Supply,Components,Forks,HL Fork,,229,3,687,12%
19-Feb-18,United Kingdom,Silver,Prosperous Tours,Clothing,Tights,Women's Tights,Black,75,3,225,10%
